key,context,example,source,ru,es,pt,fr,de,it,ja,ko,zh-hans,zh-hant,id,th,tr,vi,pl,ar,orphan
invite-body,,,"Invite a friend. When they join the game, you get {n} Gems — no limit.","Пригласите друга. Когда он присоединится к игре, вы получите {n} драгоценных камней - без ограничений.","Invita a un amigo. Cuando se unen al juego, obtienes {n} gemas, sin límite.","Convide um amigo. Quando eles entrarem no jogo, você receberá {n} gemas - sem limite.","Invitez un ami. Quand ils rejoignent le jeu, vous obtenez {n} gemmes - pas de limite.","Lade einen Freund ein. Wenn er dem Spiel beitritt, erhältst du {n} Edelsteine ​​– ohne Limit.","Invita un amico. Quando si uniscono al gioco, ottieni {n} gemme, senza limite.",友達を招待してください。彼らがゲームに参加すると、{n}個のジェムを獲得できます - 制限はありません。,친구를 초대하세요. 친구가 게임에 참여하면 {n} 보석을 얻을 수 있습니다. 제한이 없습니다.,邀请一个朋友。当他们加入游戏时，你将获得{n}颗宝石 - 没有限制。,邀請一位朋友。当他們加入遊戲時，你將獲得{n}顆寶石 - 沒有上限。,"Undang seorang teman. Saat mereka bergabung dengan game, Anda mendapatkan {n} Permata - tidak ada batasan.",เชิญเพื่อน เมื่อพวกเขาเข้าร่วมเกม คุณจะได้รับ {n} อัญมณี - ไม่มีขีดจำกัด,"Bir arkadaş davet edin. Oyuna katıldıklarında, {n} mücevher kazanırsınız - sınır yok.","Mời một người bạn. Khi họ tham gia trò chơi, bạn nhận được {n} Đá quý - không giới hạn.","Zaproś znajomego. Gdy dołączy do gry, otrzymasz {n} klejnotów - bez limitu.",قم بدعوة صديق. عندما ينضم إلى اللعبة، ستحصل على {n} من الأحجار الكريمة - لا يوجد حد أقصى.,
invite-button,,,INVITE FRIENDS,ПРИГЛАСИТЬ ДРУЗЕЙ,INVITAR AMIGOS,CONVIDE AMIGOS,INVITER DES AMIS,FREUNDE EINLADEN,INVITA AMICI,友達を招待する,친구 초대,邀请好友,邀請朋友,UNDANG TEMAN,เชิญเพื่อน,ARKADAŞLARINI DAVET ET,MỜI BẠN BÈ,ZAPROŚ ZNAJOMYCH,دعوة الأصدقاء,
invite-count,,,{n} friends joined so far,{n} друзей уже присоединились,{n} amigos se han unido hasta ahora,{n} amigos entraram até agora,{n} amis ont rejoint jusqu'à présent,{n} Freunde sind bis jetzt beigetreten ,{n} amici si sono uniti finora,これまで{n}人の友達が参加しました,지금까지 {n}명의 친구가 참가했어요,到目前为止，已有{n}位朋友加入,到目前為止，有{n}個朋友加入了遊戲。,{n} teman telah bergabung sejauh ini,{n} เพื่อนเข้าร่วมจนถึงตอนนี้,Şimdiye kadar {n} arkadaş katıldı,{n} bạn bè đã tham gia cho đến nay,Do tej pory dołączyło {n} znajomych,انضم {n} أصدقاء حتى الآن.,
invite-count-none,,,No friends have joined yet,"Пока что нет друзей, которые присоединились.",Aún no se ha unido ningún amigo.,Nenhum amigo entrou ainda,Aucun ami n'a encore rejoint,Noch sind keine Freunde beigetreten,Nessun amico si è ancora unito,まだ友達が参加していません,아직 친구가 없습니다.,还没有朋友加入,還沒有朋友加入,Belum ada teman yang bergabung,ยังไม่มีเพื่อนเข้าร่วม,Henüz hiç arkadaş katılmadı.,Chưa có bạn bè nào tham gia,Nie ma jeszcze żadnych znajomych,لم ينضم أصدقاء بعد.,
invite-sent,,,Invites sent! Gems land when they join.,"Приглашения отправлены! Самоцветы появятся, когда они присоединятся.",¡Invitaciones enviadas! Las gemas llegan cuando se unen.,Convites enviados! Gemas chegam quando eles se juntam.,Invitations envoyées ! Les gemmes arrivent quand elles rejoignent.,"Einladungen gesendet! Edelsteine ​​kommen, wenn sie beitreten. ",Inviti inviati! Le gemme vengono assegnate quando si uniscono.,招待状を送信しました！参加するとジェムが入手できます。,초대장이 전송됐어요! 초대받은 플레이어가 참가하면 보석이 드롭됩니다.,邀请已送出！他们加入时会获得宝石。,邀請已送出！當他們加入時會獲得寶石。,Undangan sudah dikirim. Permata akan muncul saat mereka bergabung.,ส่งคำเชิญแล้ว! อัญมณีจะมาถึงเมื่อพวกเขาเข้าร่วม.,Davetler gönderildi. Katıldıklarında mücevherler elde edilir.,Lời mời đã được gửi. Kim cương sẽ xuất hiện khi họ tham gia.,"Zaproszenia wysłane! Klejnoty pojawią się, gdy dołączą.",تم إرسال الدعوات! ستحصل على الأحجار الكريمة عندما ينضمون.,
invite-unavailable,,,Invites aren't available right now.,Приглашения сейчас недоступны.,Las invitaciones no están disponibles ahora mismo.,Convites não estão disponíveis no momento.,Les invitations ne sont pas disponibles pour le moment.,Einladungen sind im Moment nicht verfügbar.,Gli inviti non sono disponibili al momento.,招待は現在利用できません。,현재 초대가 이용할 수 없습니다.,邀请功能暂时停用。,目前無法使用邀請功能。,Undangan tidak tersedia saat ini.,คำเชิญยังไม่พร้อมใช้งานในขณะนี้,Davetler şu anda kullanılamıyor.,Lời mời hiện không có sẵn.,Zaproszenia są teraz niedostępne.,الدعوات غير متوفرة حاليًا.,
title-group-reward,,,Free Boost,Бесплатное усиление,Impulso gratuito,Impulso Grátis,Boost gratuit,Kostenloser Boost,Boost Gratuito,無料ブースト,무료 부스트,免费加成,免費加成,Peningkatan Gratis,บูสฟรี,Ücretsiz Takviye,Tăng cường miễn phí,Darmowe wzmocnienie,دفعة مجانية,
group-headline,,,Like + Join = Free Boost,Лайк + Присоединение = Бесплатное усиление,Me gusta + Unirse = Impulso gratuito ,Like + Junte-se = Impulso Grátis,J'aime + Rejoindre = Boost gratuit,Like + Beitreten = Gratis-Boost ,Mi piace + Unisciti = Boost gratuito,「いいね」+参加=無料ブースト,좋아요 + 참여 = 무료 부스트,点赞+加入=免费加成 ,點贊+加入=免費加成,Like + Bergabung = Boost Gratis,Like + Join = บูสต์ฟรี,Beğen + Katıl = Ücretsiz Takviye,Like + Tham gia = Tăng cường miễn phí,Polub + Dołącz = Darmowy bonus,الإعجاب + الانضمام = دفعة مجانية,
group-body,,,Like the game and join our community to get a 15 minute x2 Calories boost!,"Поставьте лайк игре и присоединитесь к нашему сообществу, чтобы получить увеличение калорий в 2 раза на 15 минут!",Dale un me gusta al juego y únete a nuestra comunidad para obtener un aumento de calorías de x2 durante 15 minutos.,Curta o jogo e junte-se à nossa comunidade para obter um aumento de x2 calorias por 15 minutos!,Aimez le jeu et rejoignez notre communauté pour obtenir un boost de x2 calories pendant 15 minutes !,"Like das Spiel und tritt unserer Community bei, um einen 15-minütigen x2 Kalorien-Boost zu erhalten!",Dai un like al gioco e unisciti alla nostra community per ottenere un aumento di calorie x2 di 15 minuti!,ゲームに「いいね」をして、コミュニティに参加すると、15分間、カロリーが2倍になります！,게임에 좋아요를 누르고 커뮤니티에 가입하면 15분 동안 칼로리 2배 부스트를 얻을 수 있어요!,点赞游戏并加入我们的社区，可获得15分钟的双倍卡路里加成！ ,點贊遊戲並加入我們的社群即可獲得 15 分鐘 2 倍卡路里加成！,Sukai gamenya dan bergabunglah dengan komunitas kami untuk mendapatkan peningkatan kalori x2 selama 15 menit!,กดไลค์เกมและเข้าร่วมชุมชนของเราเพื่อรับการเพิ่มแคลอรี่ x2 เป็นเวลา 15 นาที!,Oyunu beğenin ve 15 dakikalık x2 kalori takviyesi için topluluğumuza katılın!,Thích trò chơi và tham gia cộng đồng của chúng tôi để nhận được tăng cường calo x2 trong 15 phút!,"Polub grę i dołącz do naszej społeczności, aby uzyskać 15-minutowy wzrost kalorii x2!",قم بإعجاب اللعبة والانضمام إلى مجتمعنا للحصول على زيادة السعرات الحرارية x2 لمدة 15 دقيقة!,
group-button,,,GET REWARD,ПОЛУЧИТЬ НАГРАДУ,OBTENER RECOMPENSA,RECEBER RECOMPENSA,OBTENIR UNE RÉCOMPENSE,BELOHNUNG ERHALTEN,OTTIENI UNA RICOMPENSA,報酬を得る,보상 획득,获得奖励,獲得獎勵,DAPATKAN HADIAH,รับรางวัล,ÖDÜL ALIN,NHẬN THƯỞNG,ZDOBĄDŹ NAGRODĘ,الحصول على المكافأة,
group-wait,,,Like the game and wait {n} seconds.,Поставьте лайк игре и подождите {n} секунд.,Dale me gusta al juego y espera {n} segundos.,Curta o jogo e espere {n} segundos.,Aimez le jeu et attendez {n} secondes.,Like das Spiel und warte {n} Sekunden.,Dai un like al gioco e attendi {n} secondi.,ゲームを「いいね」して、{n}秒待ちます。,게임에 좋아요를 누르고 {n} 초를 기다리세요.,点赞游戏并等待{n}秒。,點贊遊戲並等待{n}秒。,Beri like pada game dan tunggu {n} detik.,กดไลค์เกมและรอ {n} วินาที,Oyunu beğenin ve {n} saniye bekleyin.,Thích trò chơi và đợi {n} giây.,Polub grę i poczekaj {n} sekund.,قم بإعجاب اللعبة وانتظر {n} ثواني.,
group-not-in-group,,,"Join the community first, then try again.","Сначала присоединяйтесь к сообществу, а затем попробуйте снова.",Únete a la comunidad primero e inténtalo de nuevo.,Junte-se à comunidade primeiro e tente novamente.,"Rejoignez d'abord la communauté, puis réessayez.",Tritt zuerst der Community bei und versuche es dann erneut.,"Unisciti prima alla comunità, quindi riprova.",まずコミュニティに参加してから、もう一度お試しください。,먼저 커뮤니티에 가입한 후 다시 시도해 주세요.,请先加入社区，然后重试。,請先加入社群，再試一次。,"Bergabunglah dengan komunitas terlebih dahulu, lalu coba lagi.",เข้าร่วมชุมชนก่อน แล้วลองอีกครั้ง,"Önce topluluğa katılın, sonra tekrar deneyin.","Tham gia cộng đồng trước, sau đó thử lại.","Najpierw dołącz do społeczności, a następnie spróbuj ponownie.",انضم إلى المجتمع أولاً، ثم حاول مرة أخرى.,
group-granted,,,Boost activated! Enjoy your x2 Calories.,Усиление активировано! Наслаждайтесь своими x2 калориями.,Impulso activado! Disfruta de tus x2 calorías.,Impulso ativado! Aproveite suas x2 calorias.,Boost activé ! Profitez de vos x2 Calories.,Boost aktiviert! Genieße deine x2 Kalorien.,Boost attivato! Goditi le tue x2 calorie.,ブーストが有効化されました！ 2倍のカロリーを楽しんでください。,부스트가 활성화되었습니다! x2 칼로리를 즐기세요.,强化效果已激活！享受你的双倍卡路里吧！ ,強化效果已啟用！享受雙倍的卡路里吧！,Peningkatan diaktifkan! Nikmati x2 Kalori Anda.,บูสต์เปิดใช้งานแล้ว! เพลิดเพลินไปกับแคลอรี่ x2 ของคุณ.,Takviye etkinleştirildi! x2 kalorilerin tadını çıkarın.,Boost đã được kích hoạt! Thưởng thức x2 Calo của bạn.,Wzmocnienie aktywowane! Ciesz się swoimi x2 kaloriami.,تم تفعيل التعزيز! استمتع بـ 2 أضعاف السعرات الحرارية.,
group-claimed,,,Already claimed — thanks for the support!,Уже получено - спасибо за поддержку!,Ya reclamado - ¡gracias por el apoyo!,Já reivindicado - obrigado pelo apoio!,Déjà réclamé - merci pour le soutien !,Bereits eingelöst - danke für die Unterstützung!,Già rivendicato - grazie per il supporto!,すでに受け取り済みです。サポートありがとうございます！,이미 획득했습니다. 응원해 주셔서 감사합니다!,已领取 - 感谢您的支持！,已領取 - 謝謝您的支持！,Sudah diklaim - terima kasih atas dukungannya!,ได้รับแล้ว - ขอบคุณสำหรับการสนับสนุน!,Zaten alındı - destek için teşekkürler!,Đã nhận được - cảm ơn vì sự hỗ trợ!,Już odebrano - dziękujemy za wsparcie!,تم الاستلام بالفعل - شكرًا على الدعم!,
group-unconfigured,,,This reward isn't available right now.,Эта награда сейчас недоступна.,Esta recompensa no está disponible ahora mismo.,Esta recompensa não está disponível agora.,Cette récompense n'est pas disponible pour le moment.,Diese Belohnung ist im Moment nicht verfügbar.,Questa ricompensa non è disponibile al momento.,この報酬は現在利用できません。,이 보상은 현재 사용할 수 없습니다.,该奖励目前不可用。,這個獎勵目前無法領取。,Hadiah ini tidak tersedia saat ini.,รางวัลนี้ยังไม่พร้อมใช้งานในขณะนี้,Bu ödül şu anda mevcut değil.,Phần thưởng này hiện không có sẵn.,Ta nagroda nie jest teraz dostępna.,هذه المكافأة غير متاحة حاليًا.,
btn-free,,,FREE,Бесплатно,GRATIS,GRÁTIS,GRATUIT,KOSTENLOS,GRATIS,無料,무료,免费,免費,GRATIS,ฟรี,ÜCRETSİZ,MIỄN PHÍ,DARMOWE,مجاني,
btn-owned,,,Owned,Приобретено,En propiedad,Possuído,Possédé,In Besitz,Posseduto,所有済み,보유 중,已拥有,已擁有,Dimiliki,มีแล้ว,Sahip Olunan,Sở hữu,Posiadany,مملوكة,
price-robux,,,R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},R$ {n},ر$ {n},
price-robux-short,,,{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},
price-gems-short,,,{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},{n},
placeholder-code,,,Enter code...,Введите код...,Introduzca el código...,Insira o código...,Entrez le code...,Code eingeben...,Inserisci il codice...,コードを入力...,코드를 입력하세요...,输入代码...,輸入代碼...,Masukkan kode...,ใส่โค้ด...,Kodu girin...,Nhập mã...,Wpisz kod...,ادخل الرمز...,
btn-redeem,,,Redeem,Активировать,Canjear ,Resgatar ,Échanger,Einlösen,Riscatta,引き換える,교환,兑换,兌換,Tukarkan,แลก,Kullan,Nhập mã,Odbierz,استرداد ,
status-code-ok,,,Code redeemed!,Код активирован!,Código canjeado!,Código resgatado!,Code utilisé !,Code eingelöst!,Codice riscattato!,コードを引き換えました！,코드를 사용했습니다!,兑换码已兑换！,代碼已兌換！,Kode telah digunakan!,แลกโค้ดแล้ว!,Kod kullanıldı!,Mã đã được sử dụng!,Kod został wykorzystany!,تم استرداد الرمز!,
status-code-ok-gold,,,Code redeemed! +{n} Gold,Код активирован! +{n} золота ,Código canjeado! +{n} Oro ,Código resgatado! +{n} Ouro,Code utilisé ! +{n} Or,Code eingelöst! +{n} Gold ,Codice riscattato! +{n} Oro ,コードを引き換えました！+{n} ゴールド,코드 교환 완료! +{n} 골드,兑换码已兑换！+{n} 金币 ,代碼已兌換！+{n} 黃金,Kode ditebus! +{n} Emas ,แลกโค้ดแล้ว! +{n} ทอง ,Kod kullanıldı! +{n} Altın,Mã đã được sử dụng! +{n} Gold,Kod wykorzystany! +{n} Złota,تم استرداد الرمز! +{n} من الذهب ,
status-code-invalid,,,Invalid code,Неверный код,Código no válido,Código inválido,Code non valide.,Ungültiger Code,Codice non valido,無効なコード,유효하지 않은 코드입니다,无效代码,無效代碼,Kode tidak valid,รหัสไม่ถูกต้อง,Geçersiz kod,Mã không hợp lệ,Niepoprawny kod,رمز غير صالح,
status-code-expired,,,This code has expired,Время действия кода истекло,Código expirado ,Este código expirou,Ce code a expiré,Dieser Code ist abgelaufen,Codice scaduto,このコードは期限切れです,이 코드는 만료되었습니다,该兑换码已过期,此代碼已過期,Kode ini sudah kedaluwarsa ,รหัสนี้หมดอายุแล้ว,Bu kodun süresi doldu,Mã này đã hết hạn,Ten kod wygasł,لقد انتهت صلاحية هذا الرمز.,
status-code-already,,,Already redeemed,Уже активирован,Ya canjeado,Já resgatado,Déjà utilisé,Bereits eingelöst,Già riscattato,すでに利用済みです,이미 사용함,已兑换,已兌換,Sudah ditebus,แลกแล้ว,Zaten kullanılmış,Đã nhận,Już wykorzystane,تم استرداده بالفعل,
status-code-cooldown,,,Please wait a moment...,"Пожалуйста, подождите...","Por favor, espera un momento...","Por favor, espere um momento...",Veuillez patienter...,Bitte warte einen Moment ...,Si prega di attendere un momento...,少々お待ちください…,잠시만 기다려 주세요...,请稍等一下...,請稍候一下...,Harap tunggu sebentar...,กรุณารอสักครู่...,Lütfen bir dakika bekleyin...,Vui lòng chờ một chút...,Proszę czekać...,يرجى الانتظار لبعض الوقت...,
tutorial-title,,,THE CHALLENGE,Вызов,EL DESAFÍO,O DESAFIO,LE DÉFI,DIE CHALLENGE,LA SFIDA,挑戦,챌린지,挑战,挑戰,TANTANGAN,ชาเลนจ์,ZORLUK,THỬ THÁCH,WYZWANIE,التحدي,
tutorial-skip,,,LET'S GO!,Поехали!,¡VAMOS!,VAMOS LÁ!,ALLONS-Y !,LOS GEHT'S!,ANDIAMO!,行こう！,갑시다!,出发吧！,來吧！,AYO PERGI!,มาลุยกันเลย!,BAŞLAYALIM!,HÃY BẮT ĐẦU NÀO!,RUSZAJMY!,دعونا نذهب!,
tutorial-eat-title,,,EAT THE CAKE!,Съешьте торт!,¡COME EL PASTEL!,COMA O BOLO!,MANGEZ LE GÂTEAU !,Iss den Kuchen!,MANGIA LA TORTA!,ケーキを食べよう！,케이크를 먹어라!,吃蛋糕！,吃蛋糕吧！,MAKAN KUE!,กินเค้ก!,Keki yiyin!,ĂN BÁNH!,Zjedz ciasto!,تناول الكيك!,
tutorial-eat-body-pc,,,Hold the LEFT MOUSE BUTTON to eat what's in front of you.,"Удерживайте левую кнопку мыши, чтобы съесть то, что перед вами.",Mantén presionado el botón izquierdo del ratón para comer lo que hay frente a ti.,Segure o botão esquerdo do mouse para comer o que está na sua frente.,Maintenez le bouton gauche de la souris pour manger ce qui se trouve devant vous.,"Halte die linke Maustaste gedrückt, um das zu essen, was vor dir liegt.",Tieni premuto il pulsante sinistro del mouse per mangiare ciò che hai davanti.,マウスの左ボタンを押したままにすると、目の前にあるものを食べることができます。,마우스의 왼쪽 버튼을 눌러 눈앞에 있는 물건을 먹으세요.,按住鼠标左键，以吃掉你面前的食物。,按住滑鼠左鍵，以吃掉你面前的東西。,Tahan TOMBOL MOUSE KIRI untuk memakan apa yang ada di depan Anda.,กดปุ่มเมาส์ซ้ายค้างเพื่อกินสิ่งที่อยู่ตรงหน้าคุณ,Önünüzdeki şeyleri yemek için sol fare düğmesini basılı tutun.,Giữ nút chuột trái để ăn thứ trước mặt bạn.,"Przytrzymaj lewy przycisk myszy, aby zjeść to, co jest przed tobą.",اضغط على زر الماوس الأيسر لتناول ما أمامك.,
tutorial-eat-body-touch,,,Hold the pink EAT button to eat what's in front of you.,"Удерживайте розовую кнопку «Есть», чтобы съесть то, что перед вами.",Mantén presionado el botón EAT rosa para comer lo que hay frente a ti.,Segure o botão EAT rosa para comer o que está na sua frente.,Maintenez le bouton EAT rose pour manger ce qui se trouve devant vous.,"Halte den rosa EAT-Button gedrückt, um das zu essen, was vor dir liegt.",Tieni premuto il pulsante EAT rosa per mangiare ciò che hai davanti.,ピンクのEATボタンを長押しすると、目の前にあるものを食べることができます。,분홍색 EAT 버튼을 눌러 눈앞에 있는 음식을 먹으세요.,按住粉色的进食按钮，吃掉你面前的食物。,按住粉紅色的「吃」按鈕，即可吃掉眼前的東西。,Tahan tombol EAT merah muda untuk memakan apa yang ada di depan Anda.,กดปุ่ม EAT สีชมพูค้างเพื่อกินสิ่งที่อยู่ตรงหน้าคุณ,Önünüzdeki şeyi yemek için pembe YEMEK düğmesini basılı tutun.,Giữ nút EAT màu hồng để ăn thứ có trước mặt bạn.,"Przytrzymaj różowy przycisk JEDZ, aby zjeść to, co jest przed tobą.",اضغط على زر الأكل الوردي لتناول ما أمامك.,
tutorial-eat-ok,,,GOT IT!,ПОНЯЛ!,¡ENTIENDO!,ENTENDEU!,J'AI COMPRIS !,VERSTANDEN!,HO CAPITO!,わかった！,알겠어요!,明白了！ ,知道了！,MENGERTI!,รับทราบ!,ANLADIM!,HIỂU RỒI!,ROZUMIEM!,فهمت!,
tutorial-arrow-upgrades,,,UPGRADES,Улучшения,MEJORAS ,MELHORIAS ,AMÉLIORATIONS,VERBESSERUNGEN,MIGLIORAMENTI,アップグレード,업그레이드,升级 ,升級,PENINGKATAN,อัพเกรด,YÜKSELTMELER,NÂNG CẤP,ULEPSZENIA,الترقيات ,
toast-claimed,,,Claimed!,Получено!,¡Reclamado!,Resgatado!,Réclamé !,Eingelöst!,Reclamato!,受け取り済み！,획득됨!,已领取！,已領取！,Terklaim!,รับแล้ว!,Alındı!,Đã nhận!,Odebrano!,تم الاستلام!,
toast-claimed-gold,,,+{n} Gold!,+{n} золота!,+{n} Oro!,+{n} Ouro!,+{n} d'or !,+{n} Gold!,+{n} Oro!,+{n} ゴールド！,+{n} 골드!,+{n} 金币！,+{n} 黃金！,+{n} Emas!,+{n} ทอง!,+{n} Altın!,+{n} Vàng!,+{n} Złota!,+{n} من الذهب!,
,,World ProximityPrompt at the checkpoint gym: the action that burns off belly fat (MapService),Burn it off!,Сожги его!,¡Quémalo!,Queime-o!,Brûlez-le !,Verbrenne es!,Brucialo!,燃やしてしまおう！,태워버려!,把它烧掉！,把它燒掉！,Bakar habis!,เผามันออก!,Onu yak!,Đốt cháy nó!,Spal to!,قم بحرقها!,
,,World ProximityPrompt object name for the gym machine at the checkpoint (MapService),Gym,Спортзал,Gimnasio ,Academia,Salle de gym,Fitnessstudio ,Palestra ,ジム,헬스장,健身房 ,健身房,Gimnasium,ยิม,Spor Salonu,Phòng tập gym ,Siłownia,الصالة الرياضية,
,,World ProximityPrompt action at the checkpoint upgrade computer — opens the upgrade tree (MapService),Upgrades,Улучшения,Mejoras ,Melhorias ,Améliorations,Verbesserungen,Miglioramenti,アップグレード,강화,升级,升級,Peningkatan ,อัพเกรด,Yükseltmeler,Nâng cấp,Ulepszenia,الترقيات ,
,,World ProximityPrompt object name for the upgrade computer at the checkpoint (MapService),Upgrade Station,Станция улучшения ,Estación de Mejora ,Estação de Melhorias ,Station de mise à niveau,Aufwertungsstation,Stazione di Potenziamento,アップグレードステーション,업그레이드 스테이션,升级站,升級站,Stasiun Upgrade,สถานีอัพเกรด,Yükseltme İstasyonu,Trạm Nâng Cấp,Stacja Ulepszeń ,محطة الترقية,
,,World ProximityPrompt action on the paid platform that clears a whole cake layer at once (MapService),Eat this layer,Съесть этот слой,Come esta capa,Coma esta camada,Mangez cette couche,Iss diese Schicht,Mangia questo strato,この層を食べる,이 층을 먹어라,吃掉这层,吃這一層,Makan lapisan ini,กินชั้นนี้,Bu katmanı yiyin,Ăn lớp này,Zjedz tę warstwę,تناول هذه الطبقة,
,,World ProximityPrompt object name for the paid layer-clearing platform; also a shop product (MapService),Layer Eater,Поедатель слоёв,Comedor de capas,Comedor de Camadas,Mangeur de couches,Schichtfresser ,Mangiatore di strati,レイヤーイーター,레이어 먹기,层级吞噬者 ,層級吞噬者,Pemakan Lapisan ,ผู้กินชั้น ,Katman Yiyici,Kẻ ăn lớp,Pożeracz warstw,آكل الطبقات ,
,,Lobby matchmaking pad sign: nobody has stepped on the pad yet (MatchConfig.queue.statuses),Waiting Players...,Ожидание игроков...,Esperando Jugadores...,Esperando Jogadores...,Joueurs en attente...,Wartende Spieler...,Giocatori in attesa...,プレイヤーを待っています...,대기 중인 플레이어...,等待玩家中...,等待玩家中...,Menunggu Pemain...,กำลังรอผู้เล่น...,Bekleyen Oyuncular...,Đang chờ người chơi...,Oczekujący gracze...,في انتظار اللاعبين...,
,,Lobby matchmaking pad sign: a player is on the pad and is picking difficulty and party size,Choose Game Mode,Выберите режим игры,Elegir modo de juego,Escolha o Modo de Jogo,Choisir le mode de jeu,Wähle den Spielmodus,Scegli modalità di gioco,ゲームモードを選ぶ,게임 모드 선택,选择游戏模式,選擇遊戲模式,Pilih Mode Game,เลือกโหมดเกม,Oyun Modunu Seçin,Chọn chế độ chơi,Wybierz tryb gry,اختر وضع اللعبة,
,,Lobby matchmaking pad sign: the match is starting and players are being sent to the game place,Teleporting...,Телепортация...,Teletransportando...,Teleportando...,Téléportation...,Teleportiert...,Teletrasporto...,テレポート中...,텔레포트 중...,传送中……,正在傳送中...,Teleportasi...,กำลังเทเลพอร์ต...,Teleport ediliyor...,Dịch chuyển...,Teleportowanie...,يتم الانتقال...,
,,Lobby matchmaking pad sign: the teleport failed and the pad is ready for another attempt,Try Again,Попробуй еще раз,Intentar de nuevo,Tente novamente,Réessayer,Erneut versuchen,Riprova,もう一度挑戦する,다시 시도하세요,再试一次,再試一次,Coba Lagi,ลองอีกครั้ง,Tekrar Deneyin,Thử lại,Spróbuj ponownie,حاول مرة أخرى,
,,Difficulty name on the lobby matchmaking pad sign (easiest of Easy/Medium/Hard),Easy,Легко,Fácil,Fácil,Facile,Einfach,Facile,簡単,쉬운,简单,簡單,Mudah,ง่าย,Kolay,Dễ,Łatwy,سهل,
,,Difficulty name on the lobby matchmaking pad sign (middle of Easy/Medium/Hard),Medium,Средний,Medio,Médio,Moyen,Mittel,Medio,ミディアム,중간,中等,中等,Medium,ปานกลาง,Orta,Trung bình,Średni,متوسط,
,,Difficulty name on the lobby matchmaking pad sign (hardest of Easy/Medium/Hard),Hard,Сложно,Difícil,Difícil,Difficile,Schwer,Difficile,ハード,어려움,困难,難的,Sulit,ยาก,Zor,Khó,Trudny,صعب,
,,Matchmaking error: the player acted on a match they had already left,You are not in a queue.,Вы не в очереди.,No estás en una cola.,Você não está em uma fila.,Vous n'êtes pas dans une file d'attente.,Du befindest dich nicht in einer Warteschlange.,Non sei in una coda.,キューに入っていません。,당신은 대기열에 있지 않습니다.,你不在队列中。,你不在排隊中。,Anda tidak berada dalam antrian.,คุณไม่อยู่ในคิว,Bir kuyrukta değilsin.,Bạn không ở trong hàng đợi.,Nie jesteś w kolejce.,أنت لست في قائمة الانتظار.,
,,Matchmaking error: only the first player on the pad may change the match settings,Only the queue leader can use this selection.,Только лидер очереди может использовать этот выбор.,Solo el líder de la cola puede usar esta selección.,Apenas o líder da fila pode usar esta seleção.,Seul le leader de file d'attente peut utiliser cette sélection.,Nur der Warteschlangenleiter kann diese Auswahl verwenden.,Solo il leader della coda può utilizzare questa selezione.,この選択は、キューのリーダーだけが使用できます。,이 선택은 큐의 리더만 할 수 있습니다.,只有队列队长才能使用此选择。,只有隊列隊長才能使用這個選項。,Hanya pemimpin antrian yang dapat menggunakan pilihan ini.,เฉพาะผู้นำคิวเท่านั้นที่สามารถใช้การเลือกนี้ได้,Sadece kuyruk lideri bu seçimi kullanabilir.,Chỉ thủ lĩnh hàng đợi mới có thể sử dụng lựa chọn này.,Tylko lider kolejki może użyć tego wyboru.,فقط قائد الطابور يمكنه استخدام هذا الاختيار.,
,,Matchmaking error: the match session timed out; the player must step off the pad and back on,This queue selection expired. Step off and re-enter.,Время действия очереди истекло. Выйдите и войдите снова.,Esta selección de cola ha expirado. Sal y vuelve a entrar.,Esta seleção de fila expirou. Saia e volte a entrar.,Cette sélection de file d'attente a expiré. Descendez et entrez à nouveau.,Diese Warteschlangenauswahl ist abgelaufen. Steig aus und tritt erneut ein.,La selezione della coda è scaduta. Esci e rientra.,このキューの選択は期限切れです。降りてから再入力してください。,이 큐 선택은 만료되었습니다. 나가 다시 입장하세요.,此队列选择已过期。请离开并重新进入。 ,此隊列選擇已過期。請離開並重新進入。,Pemilihan antrian ini telah kedaluwarsa. Keluar dan masuk kembali.,การเลือกคิวนี้หมดอายุแล้ว ออกไปแล้วกลับเข้าใหม่อีกครั้ง,Bu kuyruk seçimi sona erdi. Adım atlayın ve yeniden girin.,Lựa chọn hàng đợi này đã hết hại. Hãy rời khỏi và vào lại.,Ten wybór kolejki wygasł. Wysiądź i wejdź ponownie.,لقد انتهت صلاحية اختيار الطابور. انزل وادخل مرة أخرى.,
,,Matchmaking error: the request to join or configure a match was malformed,Invalid queue request.,Неверный запрос очереди.,Solicitud de cola no válida.,Solicitação de fila inválida.,Demande de file d'attente non valide.,Ungültige Warteschlangenanfrage.,Richiesta di coda non valida.,無効なキューリクエストです。,잘못된 큐 요청입니다.,无效的队列请求。,無效的隊列請求。,Permintaan antrian yang tidak valid.,คำขอคิวไม่ถูกต้อง,Geçersiz kuyruk isteği.,Yêu cầu hàng đợi không hợp lệ.,Nieprawidłowa prośba o kolejkę.,طلب الطابور غير صالح.,
